,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C,VeggieWeight,NutriScore,NutriLetter
German Spaetzle Dumplings,47.0,141,73.0,0.7,49.0,1.0,15.0,2.0,847.0,75.0,4.7,4.503300189971919,11793/german-spaetzle-dumplings/,german,3.0,269.0,1.0,0.0,German Spaetzle Dumplings,16.8,6.0,324IU,0.0,2.0,1.0,1,B
Bee Sting Cake (Bienenstich) II,73.0,226,46.0,1.3,47.0,1.0,27.0,2.0,57.0,194.0,4.9,3.73684215545654,8039/bee-sting-cake-bienenstich-ii/,german,7.0,56.0,6.0,0.0,Bee Sting Cake (Bienenstich) II,20.2,14.4,434IU,0.0,0.0,3.0,2,B
Semmelknoedel (Bread Dumplings),169.0,506,113.0,3.9,202.0,5.0,51.0,10.0,101.0,345.0,20.5,4.51282072067261,85194/semmelknoedel-bread-dumplings/,german,6.0,1220.0,8.0,1.0,Semmelknoedel (Bread Dumplings),78.8,12.3,495IU,0.0,4.0,25.0,2,B
Kaiserschmarren,85.0,472,196.0,3.3,85.0,3.0,29.0,5.0,32.0,445.0,11.6,4.5,171660/kaiserschmarren/,german,4.0,109.0,59.0,0.0,Kaiserschmarren,89.9,8.9,425IU,0.0,2.0,30.0,4,C
Juicy Roasted Chicken,28.0,423,97.0,0.2,11.0,2.0,28.0,10.0,5000.0,305.0,30.9,4.707183837890629,83557/juicy-roasted-chicken/,german,7.0,662.0,1.0,0.0,Juicy Roasted Chicken,1.2,32.1,799IU,0.0,0.0,16.0,0,B
German Apple Cake I,7.0,201,16.0,0.9,22.0,1.0,4.0,1.0,2000.0,40.0,1.7,4.57601690292358,7915/german-apple-cake-i/,german,1.0,107.0,19.0,0.0,German Apple Cake I,27.7,9.7,32IU,0.0,1.0,20.0,2,B
Authentic German Potato Salad,16.0,183,10.0,2.2,14.0,1.0,26.0,3.0,1000.0,426.0,5.4,4.618061542510991,83097/authentic-german-potato-salad/,german,1.0,796.0,11.0,0.0,Authentic German Potato Salad,32.2,3.9,86IU,0.0,10.0,141.0,2,B
Hot German Potato Salad III,17.0,205,10.0,2.8,18.0,1.0,32.0,3.0,970.0,518.0,4.3,4.5507726669311515,18085/hot-german-potato-salad-iii/,german,2.0,512.0,4.0,0.0,Hot German Potato Salad III,32.9,6.5,10IU,0.0,11.0,115.0,2,B
Jagerschnitzel,131.0,556,157.0,3.0,53.0,4.0,52.0,13.0,600.0,540.0,32.9,4.57854413986206,60708/jagerschnitzel/,german,12.0,683.0,4.0,1.0,Jagerschnitzel,29.9,33.5,256IU,1.0,2.0,83.0,1,B
German Pancakes II,80.0,235,210.0,0.6,64.0,2.0,15.0,3.0,801.0,153.0,9.9,4.48798084259033,36900/german-pancakes-ii/,german,7.0,190.0,2.0,0.0,German Pancakes II,18.2,13.6,557IU,0.0,0.0,0.0,1,B
Grandma Jeanette's Amazing German Red Cabbage,47.0,148,15.0,2.7,17.0,1.0,17.0,1.0,683.0,266.0,1.4,4.64339160919189,139977/grandma-jeanettes-amazing-german-red-cabbage/,german,4.0,1375.0,19.0,0.0,Grandma Jeanette's Amazing German Red Cabbage,23.6,6.0,1172IU,0.0,51.0,120.0,6,C
German Potato Salad,38.0,328,19.0,5.1,46.0,2.0,55.0,5.0,460.0,992.0,8.0,4.54855632781982,14411/german-potato-salad/,german,4.0,250.0,8.0,0.0,German Potato Salad,46.1,12.8,139IU,1.0,45.0,150.0,-1,A
Slow Cooker Kielbasa and Beer,42.0,383,75.0,1.9,21.0,2.0,27.0,7.0,275.0,472.0,14.7,4.1153845787048295,21380/slow-cooker-kielbasa-and-beer/,german,11.0,1491.0,3.0,0.0,Slow Cooker Kielbasa and Beer,7.8,31.1,13IU,0.0,10.0,0.0,5,C
Octoberfest German Potato Salad,34.0,355,6.0,4.6,35.0,2.0,48.0,3.0,259.0,865.0,4.3,4.47599983215332,14412/octoberfest-german-potato-salad/,german,3.0,768.0,6.0,0.0,Octoberfest German Potato Salad,39.5,20.5,88IU,1.0,40.0,205.0,1,B
Southern Spain-Style Gazpacho,53.0,329,0.0,3.6,55.0,1.0,33.0,3.0,45.0,624.0,3.5,4.39285707473755,206115/southern-spain-style-gazpacho/,spanish,4.0,830.0,7.0,0.0,Southern Spain-Style Gazpacho,18.2,28.3,1971IU,0.0,47.0,71.0,3,C
Tortilla Espanola,92.0,340,279.0,5.2,95.0,4.0,63.0,5.0,77.0,1018.0,14.0,4.4499998092651385,213226/tortilla-espanola/,spanish,4.0,126.0,4.0,0.0,Tortilla Espanola,37.3,15.7,1713IU,1.0,59.0,107.0,-1,A
Authentic Paella Valenciana,85.0,783,82.0,4.5,230.0,7.0,48.0,16.0,59.0,401.0,34.2,4.07499980926514,73337/authentic-paella-valenciana/,spanish,9.0,328.0,2.0,1.0,Authentic Paella Valenciana,87.3,31.3,759IU,1.0,8.0,137.0,-2,A
Chef John's Patatas Bravas,60.0,678,21.0,5.8,41.0,3.0,64.0,4.0,89.0,1039.0,5.6,4.59183692932129,230569/chef-johns-patatas-bravas/,spanish,8.0,3885.0,3.0,0.0,Chef John's Patatas Bravas,43.3,55.3,962IU,1.0,47.0,226.0,11,D
Pontevedra-Style Spanish Chicken,49.0,1042,154.0,1.1,13.0,3.0,43.0,20.0,39.0,460.0,38.4,4.53333330154419,223054/pontevedra-style-spanish-chicken/,spanish,22.0,223.0,0.0,0.0,Pontevedra-Style Spanish Chicken,5.6,97.4,3305IU,1.0,6.0,1.0,4,C
